ID,Name
1,"Autostrada extraurbana"
2,"Autostrada urbana"
3,"Strada extraurbana principale"
4,"Strada extraurbana secondaria"
5,"Strada urbana di scorrimento"
6,"Strada urbana di quartiere"
7,"Strada locale extraurbana"
8,"Strada locale urbana"
